ID,ST
'Hong_Kong_Sal36_19_contigs',11
'Hong_Kong_Sal50_19_contigs',11
'Hong_Kong_Sal52_19_contigs',11
'Hong_Kong_Sal53_19_contigs',11
'Hong_Kong_Sal56_19_contigs',11
'Hong_Kong_Sal58_19_contigs',11
'Hong_Kong_Sal61_19_contigs',11
'Hong_Kong_Sal63_19_contigs',11
'Hong_Kong_Sal64_19_contigs',11
'Hong_Kong_Sal65_19_contigs',11
'Hong_Kong_Sal66_19_contigs',11
'Hong_Kong_Sal67_19_contigs',11
'Hong_Kong_Sal68_19_contigs',11
'Hong_Kong_Sal69_19_contigs',11
'Hong_Kong_Sal6_19_contigs',11
'Hong_Kong_Sal70_19_contigs',11
'Hong_Kong_Sal72_19_contigs',11
'Hong_Kong_Sal73_19_contigs',11
'Hong_Kong_Sal75_19_contigs',11
'Hong_Kong_Sal76_19_contigs',11
'Hong_Kong_Sal77_19_contigs',11
'Hong_Kong_Sal78_19_contigs',1925
'Hong_Kong_Sal82_19_contigs',11
'Hong_Kong_Sal83_19_contigs',11
'Hong_Kong_Sal85_19_contigs',11
'Hong_Kong_Sal86_19_contigs',11
'Hong_Kong_Sal88_19_contigs',11
'Hong_Kong_Sal91_19_contigs',11
'Hong_Kong_Sal93_19_contigs',11
'Hong_Kong_Sal94_19_contigs',11
'Hong_Kong_Sal98_19_contigs',11
'Hong_Kong_Sal99_19_contigs',11
'Mainland_China_GCA_023606685',11
'Mainland_China_GCA_023606785',11
'Mainland_China_GCA_023606825',11
'Mainland_China_GCA_023606845',11
'Mainland_China_GCA_023606965',11
'Mainland_China_GCA_023607115',11
'Mainland_China_GCA_023607125',11
'Mainland_China_GCA_023607405',11
'Mainland_China_GCA_023607435',11
'Mainland_China_GCA_023607465',11
'Mainland_China_GCA_023607505',11
'Mainland_China_GCA_023607525',11
'Mainland_China_GCA_023607565',11
'Mainland_China_GCA_023607605',11
'Mainland_China_GCA_023607645',11
'Mainland_China_GCA_023607785',11
'Mainland_China_GCA_023607925',11
'Mainland_China_GCA_023608005',11
'Mainland_China_GCA_023608025',11
'Mainland_China_GCA_023608035',11
'Mainland_China_GCA_023608125',11
'Mainland_China_GCA_023608205',11
'South_Africa_GCA_015857065',11
'South_Africa_GCA_015857345',11
'South_Africa_GCA_015857565',11
'South_Africa_GCA_015857805',11
'South_Africa_GCA_015857815',11
'South_Africa_GCA_015857885',11
'South_Africa_GCA_015857965',11
'South_Africa_GCA_015858025',11
'South_Africa_GCA_015858085',11
'South_Africa_GCA_015858125',11
'South_Africa_GCA_015858145',11
'South_Africa_GCA_015858165',11
'South_Africa_GCA_015858325',11
'South_Africa_GCA_015858345',11
'South_Africa_GCA_015858425',11
'South_Africa_GCA_015858465',11
'South_Africa_GCA_015858525',11
'South_Africa_GCA_015858565',11
'South_Africa_GCA_015858585',11
'South_Africa_GCA_015858665',11
'South_Africa_GCA_015858675',11
'South_Africa_GCA_015858765',11
'South_Africa_GCA_015858845',11
'South_Africa_GCA_015859065',11
'South_Africa_GCA_015860085',11
'Taiwan_GCA_010253615',11
'Taiwan_GCA_010254655',11
'Taiwan_GCA_010254835',11
'Taiwan_GCA_010255195',11
'Taiwan_GCA_010255295',11
'United_Kingdom_GCA_015123095',11
'United_Kingdom_GCA_015123275',11
'United_Kingdom_GCA_015127605',11
'United_Kingdom_GCA_015127645',11
'United_Kingdom_GCA_015127805',11
'United_Kingdom_GCA_015128595',11
'United_Kingdom_GCA_015128665',11
'United_Kingdom_GCA_015129935',11
'United_Kingdom_GCA_015130975',11
'United_Kingdom_GCA_015131295',11
'United_Kingdom_GCA_015131315',11
'United_Kingdom_GCA_015131435',11
'United_Kingdom_GCA_015131575',11
'United_Kingdom_GCA_015131615',11
'United_Kingdom_GCA_015131675',11
'United_Kingdom_GCA_015131735',11
'United_Kingdom_GCA_015131835',11
'United_Kingdom_GCA_015131995',11
'United_Kingdom_GCA_015132775',11
'United_Kingdom_GCA_015133115',11
'United_Kingdom_GCA_015133555',11
'United_Kingdom_GCA_015170025',11
'United_Kingdom_GCA_015170195',11
'United_Kingdom_GCA_017235175',11
'United_Kingdom_GCA_019475725',11
'United_Kingdom_GCA_019476025',11
'United_Kingdom_GCA_019476805',11
'United_Kingdom_GCA_019477265',11
'United_Kingdom_GCA_019525025',11
'United_Kingdom_GCA_019543535',11
'United_States_GCA_008396455',11
'United_States_GCA_008396595',11
'United_States_GCA_008842065',11
'United_States_GCA_008888505',11
'United_States_GCA_008888745',11
'United_States_GCA_008888765',11
'United_States_GCA_010434915',11
'United_States_GCA_010435855',11
'United_States_GCA_010486415',11
'United_States_GCA_010512695',11
'United_States_GCA_010810535',11
'United_States_GCA_010818555',11
'United_States_GCA_010840035',11
'United_States_GCA_011207155',11
'United_States_GCA_016230385',11
'United_States_GCA_016230445',11
'United_States_GCA_016230465',11
'United_States_GCA_016230505',11
'United_States_GCA_016230665',11
'United_States_GCA_016230705',11

