ID,Resistance gene
Hong_Kong_Sal36_19_contigs,sul2
Hong_Kong_Sal50_19_contigs,aac(6')-Iaa
Hong_Kong_Sal50_19_contigs,aph(6)-Id
Hong_Kong_Sal50_19_contigs,aph(3'')-Ib
Hong_Kong_Sal50_19_contigs,blaTEM-1B
Hong_Kong_Sal50_19_contigs,blaTEM-1B
Hong_Kong_Sal50_19_contigs,sul2
Hong_Kong_Sal52_19_contigs,aac(6')-Iaa
Hong_Kong_Sal52_19_contigs,aph(6)-Id
Hong_Kong_Sal52_19_contigs,aph(3'')-Ib
Hong_Kong_Sal52_19_contigs,blaTEM-1B
Hong_Kong_Sal52_19_contigs,blaTEM-1B
Hong_Kong_Sal52_19_contigs,sul2
Hong_Kong_Sal53_19_contigs,aac(6')-Iaa
Hong_Kong_Sal53_19_contigs,aph(6)-Id
Hong_Kong_Sal53_19_contigs,aph(3'')-Ib
Hong_Kong_Sal53_19_contigs,blaTEM-216
Hong_Kong_Sal53_19_contigs,blaTEM-214
Hong_Kong_Sal53_19_contigs,blaTEM-210
Hong_Kong_Sal53_19_contigs,blaTEM-209
Hong_Kong_Sal53_19_contigs,blaTEM-206
Hong_Kong_Sal53_19_contigs,blaTEM-141
Hong_Kong_Sal53_19_contigs,blaTEM-57
Hong_Kong_Sal53_19_contigs,blaTEM-34
Hong_Kong_Sal53_19_contigs,blaTEM-33
Hong_Kong_Sal53_19_contigs,blaTEM-1B
Hong_Kong_Sal53_19_contigs,sul2
Hong_Kong_Sal56_19_contigs,aac(6')-Iaa
Hong_Kong_Sal56_19_contigs,aph(6)-Id
Hong_Kong_Sal56_19_contigs,aph(3'')-Ib
Hong_Kong_Sal56_19_contigs,blaTEM-1B
Hong_Kong_Sal56_19_contigs,blaTEM-1B
Hong_Kong_Sal56_19_contigs,sul2
Hong_Kong_Sal58_19_contigs,aac(6')-Iaa
Hong_Kong_Sal58_19_contigs,aph(6)-Id
Hong_Kong_Sal58_19_contigs,aph(3'')-Ib
Hong_Kong_Sal58_19_contigs,blaTEM-216
Hong_Kong_Sal58_19_contigs,blaTEM-214
Hong_Kong_Sal58_19_contigs,blaTEM-210
Hong_Kong_Sal58_19_contigs,blaTEM-209
Hong_Kong_Sal58_19_contigs,blaTEM-206
Hong_Kong_Sal58_19_contigs,blaTEM-141
Hong_Kong_Sal58_19_contigs,blaTEM-57
Hong_Kong_Sal58_19_contigs,blaTEM-34
Hong_Kong_Sal58_19_contigs,blaTEM-33
Hong_Kong_Sal58_19_contigs,blaTEM-1B
Hong_Kong_Sal58_19_contigs,sul2
Hong_Kong_Sal61_19_contigs,aac(6')-Iaa
Hong_Kong_Sal61_19_contigs,blaTEM-220
Hong_Kong_Sal61_19_contigs,blaTEM-135
Hong_Kong_Sal61_19_contigs,blaTEM-126
Hong_Kong_Sal61_19_contigs,blaTEM-106
Hong_Kong_Sal61_19_contigs,blaTEM-1B
Hong_Kong_Sal63_19_contigs,aac(6')-Iaa
Hong_Kong_Sal63_19_contigs,aph(6)-Id
Hong_Kong_Sal63_19_contigs,aph(3'')-Ib
Hong_Kong_Sal63_19_contigs,blaTEM-216
Hong_Kong_Sal63_19_contigs,blaTEM-214
Hong_Kong_Sal63_19_contigs,blaTEM-210
Hong_Kong_Sal63_19_contigs,blaTEM-209
Hong_Kong_Sal63_19_contigs,blaTEM-206
Hong_Kong_Sal63_19_contigs,blaTEM-141
Hong_Kong_Sal63_19_contigs,blaTEM-57
Hong_Kong_Sal63_19_contigs,blaTEM-34
Hong_Kong_Sal63_19_contigs,blaTEM-33
Hong_Kong_Sal63_19_contigs,blaTEM-1B
Hong_Kong_Sal63_19_contigs,sul2
Hong_Kong_Sal64_19_contigs,aac(6')-Iaa
Hong_Kong_Sal64_19_contigs,aph(6)-Id
Hong_Kong_Sal64_19_contigs,aph(3'')-Ib
Hong_Kong_Sal64_19_contigs,blaTEM-216
Hong_Kong_Sal64_19_contigs,blaTEM-214
Hong_Kong_Sal64_19_contigs,blaTEM-210
Hong_Kong_Sal64_19_contigs,blaTEM-209
Hong_Kong_Sal64_19_contigs,blaTEM-206
Hong_Kong_Sal64_19_contigs,blaTEM-141
Hong_Kong_Sal64_19_contigs,blaTEM-57
Hong_Kong_Sal64_19_contigs,blaTEM-34
Hong_Kong_Sal64_19_contigs,blaTEM-33
Hong_Kong_Sal64_19_contigs,blaTEM-1B
Hong_Kong_Sal64_19_contigs,sul2
Hong_Kong_Sal65_19_contigs,aac(6')-Iaa
Hong_Kong_Sal65_19_contigs,aph(6)-Id
Hong_Kong_Sal65_19_contigs,aph(3'')-Ib
Hong_Kong_Sal65_19_contigs,blaCTX-M-55
Hong_Kong_Sal65_19_contigs,blaTEM-214
Hong_Kong_Sal65_19_contigs,blaTEM-209
Hong_Kong_Sal65_19_contigs,blaTEM-206
Hong_Kong_Sal65_19_contigs,blaTEM-141
Hong_Kong_Sal65_19_contigs,blaTEM-1B
Hong_Kong_Sal65_19_contigs,floR
Hong_Kong_Sal65_19_contigs,sul2
Hong_Kong_Sal65_19_contigs,tet(A)
Hong_Kong_Sal66_19_contigs,aac(6')-Iaa
Hong_Kong_Sal66_19_contigs,aph(6)-Id
Hong_Kong_Sal66_19_contigs,aph(3'')-Ib
Hong_Kong_Sal66_19_contigs,blaTEM-1B
Hong_Kong_Sal66_19_contigs,blaTEM-1B
Hong_Kong_Sal66_19_contigs,sul2
Hong_Kong_Sal67_19_contigs,aac(6')-Iaa
Hong_Kong_Sal67_19_contigs,aph(6)-Id
Hong_Kong_Sal67_19_contigs,aph(3'')-Ib
Hong_Kong_Sal67_19_contigs,blaTEM-216
Hong_Kong_Sal67_19_contigs,blaTEM-214
Hong_Kong_Sal67_19_contigs,blaTEM-210
Hong_Kong_Sal67_19_contigs,blaTEM-209
Hong_Kong_Sal67_19_contigs,blaTEM-206
Hong_Kong_Sal67_19_contigs,blaTEM-141
Hong_Kong_Sal67_19_contigs,blaTEM-57
Hong_Kong_Sal67_19_contigs,blaTEM-34
Hong_Kong_Sal67_19_contigs,blaTEM-33
Hong_Kong_Sal67_19_contigs,blaTEM-1B
Hong_Kong_Sal67_19_contigs,sul2
Hong_Kong_Sal68_19_contigs,aac(6')-Iaa
Hong_Kong_Sal68_19_contigs,aph(6)-Id
Hong_Kong_Sal68_19_contigs,aph(3'')-Ib
Hong_Kong_Sal68_19_contigs,blaTEM-216
Hong_Kong_Sal68_19_contigs,blaTEM-214
Hong_Kong_Sal68_19_contigs,blaTEM-210
Hong_Kong_Sal68_19_contigs,blaTEM-209
Hong_Kong_Sal68_19_contigs,blaTEM-206
Hong_Kong_Sal68_19_contigs,blaTEM-141
Hong_Kong_Sal68_19_contigs,blaTEM-57
Hong_Kong_Sal68_19_contigs,blaTEM-34
Hong_Kong_Sal68_19_contigs,blaTEM-33
Hong_Kong_Sal68_19_contigs,blaTEM-1B
Hong_Kong_Sal68_19_contigs,sul2
Hong_Kong_Sal69_19_contigs,aac(6')-Iaa
Hong_Kong_Sal6_19_contigs,aac(6')-Iaa
Hong_Kong_Sal6_19_contigs,aph(6)-Id
Hong_Kong_Sal6_19_contigs,aph(3'')-Ib
Hong_Kong_Sal6_19_contigs,blaTEM-1B
Hong_Kong_Sal6_19_contigs,blaTEM-1B
Hong_Kong_Sal6_19_contigs,blaCTX-M-64
Hong_Kong_Sal6_19_contigs,mcr-1.1
Hong_Kong_Sal6_19_contigs,sul2
Hong_Kong_Sal70_19_contigs,aac(6')-Iaa
Hong_Kong_Sal70_19_contigs,aph(6)-Id
Hong_Kong_Sal70_19_contigs,aph(3'')-Ib
Hong_Kong_Sal70_19_contigs,blaTEM-1B
Hong_Kong_Sal70_19_contigs,blaTEM-1B
Hong_Kong_Sal70_19_contigs,sul2
Hong_Kong_Sal72_19_contigs,aac(6')-Iaa
Hong_Kong_Sal72_19_contigs,aph(4)-Ia
Hong_Kong_Sal72_19_contigs,aph(3')-Ia
Hong_Kong_Sal72_19_contigs,aac(3)-IV
Hong_Kong_Sal72_19_contigs,aadA2b
Hong_Kong_Sal72_19_contigs,aph(6)-Id
Hong_Kong_Sal72_19_contigs,aph(3'')-Ib
Hong_Kong_Sal72_19_contigs,blaTEM-234
Hong_Kong_Sal72_19_contigs,blaTEM-230
Hong_Kong_Sal72_19_contigs,blaTEM-220
Hong_Kong_Sal72_19_contigs,blaTEM-217
Hong_Kong_Sal72_19_contigs,blaTEM-207
Hong_Kong_Sal72_19_contigs,blaTEM-198
Hong_Kong_Sal72_19_contigs,blaTEM-186
Hong_Kong_Sal72_19_contigs,blaTEM-176
Hong_Kong_Sal72_19_contigs,blaTEM-148
Hong_Kong_Sal72_19_contigs,blaTEM-126
Hong_Kong_Sal72_19_contigs,blaTEM-104
Hong_Kong_Sal72_19_contigs,blaTEM-70
Hong_Kong_Sal72_19_contigs,blaTEM-30
Hong_Kong_Sal72_19_contigs,blaTEM-1B
Hong_Kong_Sal72_19_contigs,blaOXA-10
Hong_Kong_Sal72_19_contigs,lnu(F)
Hong_Kong_Sal72_19_contigs,floR
Hong_Kong_Sal72_19_contigs,cmlA1
Hong_Kong_Sal72_19_contigs,qnrS1
Hong_Kong_Sal72_19_contigs,ARR-2
Hong_Kong_Sal72_19_contigs,sul3
Hong_Kong_Sal72_19_contigs,sul2
Hong_Kong_Sal72_19_contigs,tet(A)
Hong_Kong_Sal72_19_contigs,tet(A)
Hong_Kong_Sal72_19_contigs,tet(A)
Hong_Kong_Sal73_19_contigs,aac(6')-Iaa
Hong_Kong_Sal73_19_contigs,aph(6)-Id
Hong_Kong_Sal73_19_contigs,aph(6)-Id
Hong_Kong_Sal73_19_contigs,aph(3'')-Ib
Hong_Kong_Sal73_19_contigs,aph(3'')-Ib
Hong_Kong_Sal73_19_contigs,blaTEM-1B
Hong_Kong_Sal73_19_contigs,sul2
Hong_Kong_Sal73_19_contigs,tet(A)
Hong_Kong_Sal75_19_contigs,aac(6')-Iaa
Hong_Kong_Sal75_19_contigs,aph(6)-Id
Hong_Kong_Sal75_19_contigs,aph(3'')-Ib
Hong_Kong_Sal75_19_contigs,blaTEM-1B
Hong_Kong_Sal75_19_contigs,sul2
Hong_Kong_Sal76_19_contigs,aac(6')-Iaa
Hong_Kong_Sal76_19_contigs,aph(6)-Id
Hong_Kong_Sal76_19_contigs,aph(3'')-Ib
Hong_Kong_Sal76_19_contigs,blaTEM-1B
Hong_Kong_Sal76_19_contigs,sul2
Hong_Kong_Sal77_19_contigs,aac(6')-Iaa
Hong_Kong_Sal77_19_contigs,aph(6)-Id
Hong_Kong_Sal77_19_contigs,aph(6)-Id
Hong_Kong_Sal77_19_contigs,aph(3'')-Ib
Hong_Kong_Sal77_19_contigs,aph(3'')-Ib
Hong_Kong_Sal77_19_contigs,blaTEM-1B
Hong_Kong_Sal77_19_contigs,sul2
Hong_Kong_Sal77_19_contigs,tet(A)
Hong_Kong_Sal78_19_contigs,aac(6')-Iaa
Hong_Kong_Sal78_19_contigs,tet(A)
Hong_Kong_Sal82_19_contigs,aac(6')-Iaa
Hong_Kong_Sal82_19_contigs,aph(6)-Id
Hong_Kong_Sal82_19_contigs,aph(6)-Id
Hong_Kong_Sal82_19_contigs,aph(3'')-Ib
Hong_Kong_Sal82_19_contigs,aph(3'')-Ib
Hong_Kong_Sal82_19_contigs,blaTEM-1B
Hong_Kong_Sal82_19_contigs,sul2
Hong_Kong_Sal82_19_contigs,tet(A)
Hong_Kong_Sal83_19_contigs,aac(6')-Iaa
Hong_Kong_Sal83_19_contigs,aph(6)-Id
Hong_Kong_Sal83_19_contigs,aph(3'')-Ib
Hong_Kong_Sal83_19_contigs,blaTEM-216
Hong_Kong_Sal83_19_contigs,blaTEM-214
Hong_Kong_Sal83_19_contigs,blaTEM-210
Hong_Kong_Sal83_19_contigs,blaTEM-209
Hong_Kong_Sal83_19_contigs,blaTEM-206
Hong_Kong_Sal83_19_contigs,blaTEM-141
Hong_Kong_Sal83_19_contigs,blaTEM-57
Hong_Kong_Sal83_19_contigs,blaTEM-34
Hong_Kong_Sal83_19_contigs,blaTEM-33
Hong_Kong_Sal83_19_contigs,blaTEM-1B
Hong_Kong_Sal83_19_contigs,sul2
Hong_Kong_Sal85_19_contigs,aac(6')-Iaa
Hong_Kong_Sal85_19_contigs,aph(6)-Id
Hong_Kong_Sal85_19_contigs,aph(3'')-Ib
Hong_Kong_Sal85_19_contigs,blaTEM-1B
Hong_Kong_Sal85_19_contigs,sul2
Hong_Kong_Sal86_19_contigs,aac(6')-Iaa
Hong_Kong_Sal86_19_contigs,aph(6)-Id
Hong_Kong_Sal86_19_contigs,aph(3'')-Ib
Hong_Kong_Sal86_19_contigs,blaTEM-1B
Hong_Kong_Sal86_19_contigs,sul2
Hong_Kong_Sal88_19_contigs,aac(6')-Iaa
Hong_Kong_Sal91_19_contigs,aac(6')-Iaa
Hong_Kong_Sal91_19_contigs,aph(6)-Id
Hong_Kong_Sal91_19_contigs,aph(3'')-Ib
Hong_Kong_Sal91_19_contigs,blaTEM-1B
Hong_Kong_Sal91_19_contigs,sul2
Hong_Kong_Sal93_19_contigs,aac(6')-Iaa
Hong_Kong_Sal93_19_contigs,aph(6)-Id
Hong_Kong_Sal93_19_contigs,aph(3'')-Ib
Hong_Kong_Sal93_19_contigs,blaTEM-1B
Hong_Kong_Sal93_19_contigs,blaTEM-1B
Hong_Kong_Sal93_19_contigs,sul2
Hong_Kong_Sal94_19_contigs,aac(6')-Iaa
Hong_Kong_Sal94_19_contigs,aph(6)-Id
Hong_Kong_Sal94_19_contigs,aph(3'')-Ib
Hong_Kong_Sal94_19_contigs,blaTEM-1B
Hong_Kong_Sal94_19_contigs,sul2
Hong_Kong_Sal94_19_contigs,tet(A)
Hong_Kong_Sal98_19_contigs,aac(6')-Iaa
Hong_Kong_Sal98_19_contigs,aph(6)-Id
Hong_Kong_Sal98_19_contigs,aph(3'')-Ib
Hong_Kong_Sal98_19_contigs,blaTEM-1B
Hong_Kong_Sal98_19_contigs,blaTEM-1B
Hong_Kong_Sal98_19_contigs,sul2
Hong_Kong_Sal99_19_contigs,aac(6')-Iaa
Hong_Kong_Sal99_19_contigs,aph(6)-Id
Hong_Kong_Sal99_19_contigs,aph(3'')-Ib
Hong_Kong_Sal99_19_contigs,blaTEM-1B
Hong_Kong_Sal99_19_contigs,sul2
Mainland_China_GCA_023606685,aac(6')-Iaa
Mainland_China_GCA_023606685,aph(6)-Id
Mainland_China_GCA_023606685,aph(3'')-Ib
Mainland_China_GCA_023606685,blaTEM-1B
Mainland_China_GCA_023606685,blaTEM-1B
Mainland_China_GCA_023606685,sul2
Mainland_China_GCA_023606785,aac(6')-Iaa
Mainland_China_GCA_023606785,aph(6)-Id
Mainland_China_GCA_023606785,aph(3'')-Ib
Mainland_China_GCA_023606785,blaTEM-1B
Mainland_China_GCA_023606785,blaTEM-1B
Mainland_China_GCA_023606785,sul2
Mainland_China_GCA_023606825,aac(6')-Iaa
Mainland_China_GCA_023606825,aph(6)-Id
Mainland_China_GCA_023606825,aph(3'')-Ib
Mainland_China_GCA_023606825,blaTEM-1B
Mainland_China_GCA_023606825,blaTEM-1B
Mainland_China_GCA_023606825,sul2
Mainland_China_GCA_023606845,aac(6')-Iaa
Mainland_China_GCA_023606845,aph(6)-Id
Mainland_China_GCA_023606845,aph(6)-Id
Mainland_China_GCA_023606845,aph(3'')-Ib
Mainland_China_GCA_023606845,aph(3'')-Ib
Mainland_China_GCA_023606845,blaTEM-1B
Mainland_China_GCA_023606845,sul2
Mainland_China_GCA_023606845,tet(A)
Mainland_China_GCA_023606965,aac(6')-Iaa
Mainland_China_GCA_023606965,aph(6)-Id
Mainland_China_GCA_023606965,aph(3'')-Ib
Mainland_China_GCA_023606965,blaTEM-1B
Mainland_China_GCA_023606965,sul2
Mainland_China_GCA_023607115,aac(6')-Iaa
Mainland_China_GCA_023607115,aadA5
Mainland_China_GCA_023607115,blaTEM-1B
Mainland_China_GCA_023607115,dfrA17
Mainland_China_GCA_023607125,aac(6')-Iaa
Mainland_China_GCA_023607125,aph(6)-Id
Mainland_China_GCA_023607125,aph(3'')-Ib
Mainland_China_GCA_023607125,blaTEM-1B
Mainland_China_GCA_023607125,sul2
Mainland_China_GCA_023607405,aac(6')-Iaa
Mainland_China_GCA_023607405,blaTEM-1B
Mainland_China_GCA_023607435,aac(6')-Iaa
Mainland_China_GCA_023607435,aph(6)-Id
Mainland_China_GCA_023607435,aph(6)-Id
Mainland_China_GCA_023607435,aph(3'')-Ib
Mainland_China_GCA_023607435,aph(3'')-Ib
Mainland_China_GCA_023607435,blaTEM-1B
Mainland_China_GCA_023607435,sul2
Mainland_China_GCA_023607435,tet(A)
Mainland_China_GCA_023607465,aac(6')-Iaa
Mainland_China_GCA_023607505,aac(6')-Iaa
Mainland_China_GCA_023607525,aac(6')-Iaa
Mainland_China_GCA_023607525,aph(6)-Id
Mainland_China_GCA_023607525,aph(3'')-Ib
Mainland_China_GCA_023607525,blaTEM-1B
Mainland_China_GCA_023607525,sul2
Mainland_China_GCA_023607565,aac(6')-Iaa
Mainland_China_GCA_023607565,aph(6)-Id
Mainland_China_GCA_023607565,aph(3'')-Ib
Mainland_China_GCA_023607565,blaTEM-1B
Mainland_China_GCA_023607565,blaTEM-1B
Mainland_China_GCA_023607565,sul2
Mainland_China_GCA_023607605,aac(6')-Iaa
