ID,Plasmid_GENE
United_States_GCA_010435855,IncFIB(S)
United_States_GCA_010435855,IncFII(S)
United_States_GCA_010486415,IncFIB(S)
United_States_GCA_010486415,IncFII(S)
United_States_GCA_010512695,IncFIB(S)
United_States_GCA_010512695,IncFII(S)
United_States_GCA_010810535,IncFIB(S)
United_States_GCA_010810535,IncFII(S)
United_States_GCA_010840035,IncFIB(S)
United_States_GCA_010840035,IncFII(S)
United_States_GCA_010840035,IncX1
United_States_GCA_011207155,IncFII(S)
United_States_GCA_011207155,IncFIB(S)
United_States_GCA_016230385,IncFII(S)
United_States_GCA_016230385,IncFIB(S)
United_States_GCA_016230445,IncFII(S)
United_States_GCA_016230445,IncFIB(S)
United_States_GCA_016230465,IncFIB(S)
United_States_GCA_016230465,IncFII(S)
United_States_GCA_016230505,IncFIB(S)
United_States_GCA_016230505,IncFII(S)
United_States_GCA_016230665,IncFIB(S)
United_States_GCA_016230665,IncFII(S)
United_States_GCA_016230665,IncX1
United_States_GCA_016230665,IncX3
United_States_GCA_016230705,IncFIB(S)
United_States_GCA_016230705,IncFII(S)

